label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_166.70DEC-31.88,30,80.6846961655228
RA_166.70DEC47.42,11,175.16844118583873
RA_166.72DEC-30.65,32,90.93945343397318
RA_166.72DEC8.11,23,196.816966968654
RA_166.76DEC7.94,17,66.63629815434018
RA_166.77DEC9.62,23,234.44582462380035
RA_166.80DEC10.10,22,94.45966331145732
RA_166.81DEC10.21,23,993.2674594365712
RA_166.83DEC-30.50,44,164.98982537824642
RA_166.84DEC7.51,22,174.2500882402435
RA_166.85DEC10.20,22,117.91648972685547
RA_166.90DEC49.18,11,983.9808177139853
RA_166.91DEC-30.69,35,79.52217852999127
RA_166.91DEC49.00,10,394.1183999493482
RA_166.92DEC48.82,10,299.0531218988826
RA_166.94DEC10.11,19,86.707865086858
RA_166.95DEC-30.71,44,103.31887055891957
RA_166.95DEC10.22,22,120.18735077346884
RA_166.96DEC8.38,22,109.16916538577858
RA_167.00DEC10.20,21,121.16061710982532
RA_167.03DEC9.02,21,527.7875396167808
RA_167.11DEC7.63,20,455.8452321780695
RA_167.14DEC-30.13,47,637.4590044033271
RA_167.18DEC-30.77,47,435.6844738318447
RA_167.20DEC8.80,20,120.79434345325292
RA_167.21DEC-32.05,48,144.39681811951877
RA_167.22DEC-30.89,48,200.10135297456873
RA_167.22DEC-31.05,48,118.8863930902507
RA_167.23DEC-30.93,47,126.06408837039623
RA_167.25DEC6.90,18,96.77461816407576
RA_167.25DEC9.70,18,83.80517319600433
RA_167.27DEC7.95,19,123.4160475766254
RA_167.29DEC-30.35,48,176.6425047601348
RA_167.32DEC-32.25,49,182.22945923822545
RA_167.33DEC-31.62,45,100.20476639560069
RA_167.36DEC8.81,18,83.4712122791353
RA_167.39DEC-32.51,49,148.71457691482578
RA_167.41DEC-33.05,50,148.8030535608347
RA_167.43DEC-32.64,50,150.40523320092146
RA_167.44DEC7.50,18,199.56864063291425
RA_167.45DEC10.16,18,431.7384390716357
RA_167.56DEC-32.42,51,185.53667715625554
RA_167.62DEC-32.83,51,171.71922072916777
RA_167.63DEC7.89,16,1066.5627105853766
RA_167.69DEC-32.21,52,159.27580373340533
RA_167.69DEC10.37,16,220.09934994747672
RA_167.71DEC-33.01,52,131.73491954340182
RA_167.72DEC-30.43,48,99.22076678085828
RA_167.72DEC-32.70,52,131.44036158086357
RA_167.73DEC-31.94,51,109.3215766815819
RA_167.73DEC9.85,15,178.81061913303682
RA_167.77DEC-32.34,52,122.8566200019634
RA_167.78DEC8.05,14,87.29398495631474
RA_167.80DEC-30.13,52,172.98016240300723
RA_167.80DEC-31.19,35,75.72628253563113
RA_167.80DEC-33.15,42,87.9412533813444
RA_167.85DEC8.27,15,175.9210316340203
RA_167.86DEC-31.39,53,193.72546507300893
RA_167.87DEC-32.46,53,140.72776420551625
RA_167.89DEC-32.15,37,81.62749051928068
RA_167.89DEC-32.57,36,79.34529021109992
RA_167.91DEC8.31,14,135.28860130365038
RA_167.94DEC-30.75,36,79.5271729947728
RA_167.98DEC10.28,14,100.84737160652745
RA_168.01DEC-32.98,46,95.25864721741519
RA_168.01DEC9.09,12,80.87580513014068
RA_168.02DEC8.19,13,112.1180795127882
RA_168.02DEC9.65,13,97.25924778063336
RA_168.02DEC9.88,13,94.32494046084504
RA_168.06DEC10.39,13,173.12875353847772
RA_168.10DEC-31.34,54,106.40751847821448
RA_168.10DEC-32.02,47,96.7247693648276
RA_168.13DEC-31.30,55,141.28789149838056
RA_168.18DEC9.87,12,490.3976217436718
RA_168.22DEC-30.70,57,173.309061126249
RA_168.22DEC-31.46,58,118.88517326053021
RA_168.25DEC8.59,11,123.65783339027766
RA_168.32DEC-30.60,58,148.515294730233
RA_168.33DEC-32.89,30,81.74619453109474
RA_168.37DEC-30.09,47,102.80060102697209
RA_168.39DEC-30.25,57,115.64359316878615
RA_168.41DEC7.94,10,535.2683436647961
RA_168.43DEC-31.46,58,100.85512316240724
RA_168.45DEC-30.07,60,344.2816357949853
RA_168.48DEC-32.05,50,87.07329769970914
RA_168.49DEC-31.15,62,136.997990227929
RA_168.55DEC-32.98,64,288.0232891778646
RA_168.61DEC-30.59,64,228.74630455609605
RA_168.70DEC-30.31,62,107.46851053865596
RA_168.70DEC-33.26,28,83.68044321852848
RA_168.89DEC-30.11,68,239.57672791811459
RA_168.89DEC-31.83,68,179.46267063479195
RA_168.91DEC-30.75,37,73.59523048284038
RA_168.93DEC-31.29,67,109.7610933856167
RA_168.98DEC-32.70,70,391.3471481565764
RA_169.00DEC-31.29,65,94.44364663617642
RA_169.00DEC-32.37,70,324.6248735505925
RA_169.04DEC-30.80,70,145.5126222723925
RA_169.05DEC-30.18,67,107.15165747965017
RA_169.07DEC-32.56,72,150.43603018870897
RA_169.10DEC-30.53,58,86.2316542216179
RA_169.13DEC-32.16,72,98.81614519482478
RA_169.14DEC-30.58,70,99.69872230916376
RA_169.17DEC-30.11,72,183.61293178962526
RA_169.20DEC-31.29,72,162.20704217791115
RA_169.29DEC-31.35,74,105.47082288687284
RA_169.39DEC-31.43,66,88.69596740429013
RA_169.44DEC-32.60,78,150.53155704584222
RA_169.49DEC-31.80,50,79.16165065698264
RA_169.57DEC-30.60,78,141.18239203253924
RA_169.62DEC-32.23,58,80.5308583130448
RA_169.62DEC-33.14,80,182.81694608023525
RA_169.71DEC-30.47,80,451.3391750415273
RA_169.74DEC10.23,30,144.6251353973663
RA_169.84DEC-30.44,42,78.17115785604558
RA_169.88DEC-32.75,84,123.58759352342007
RA_169.89DEC10.08,28,143.62521618281673
RA_169.90DEC9.93,28,323.45330352556994
RA_169.92DEC6.86,28,168.99485323948937
RA_169.95DEC-33.11,38,80.68296627777973
RA_169.99DEC7.58,27,244.745806460711
RA_170.01DEC9.09,27,203.6143640388439
RA_170.03DEC-31.14,71,81.93204009005312
RA_170.15DEC-32.34,57,81.21974609380825
RA_170.15DEC-32.94,86,101.02291029938456
RA_170.17DEC6.76,26,134.26088028965285
RA_170.18DEC9.16,26,134.41714639492753
RA_170.20DEC-31.31,88,174.77066685267764
RA_170.22DEC-30.26,87,158.95596259416118
RA_170.23DEC-31.64,63,81.16001231741478
