"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jan 31 2010","2455227.999988426","286632001","68.63","1.04e-7","2.90e-8","-1.74","-","123.64","1e-8","0","bin182.log"
"Feb 03 2010","2455230.999988426","286891201","107.46","1.58e-7","3.70e-8","-1.74","-","125.04","1e-8","0","bin183.log"
"Feb 06 2010","2455233.999988426","287150401","70.57","1.21e-7","3.15e-8","-1.74","-","126.43","1e-8","0","bin184.log"
"Feb 09 2010","2455236.999988426","287409601","140.15","1.55e-7","3.30e-8","-1.74","-","127.80","1e-8","0","bin185.log"
"Feb 12 2010","2455239.999988426","287668801","123.09","1.52e-7","3.80e-8","-1.74","-","129.15","1e-8","0","bin186.log"
"Feb 15 2010","2455242.999988426","287928001","321.08","2.98e-7","4.40e-8","-1.74","-","130.47","1e-8","0","bin187.log"
"Feb 18 2010","2455245.999988426","288187201","333.89","3.35e-7","5.00e-8","-1.74","-","131.75","1e-8","0","bin188.log"
"Feb 21 2010","2455248.999988426","288446401","123.86","1.64e-7","3.70e-8","-1.74","-","132.98","1e-8","0","bin189.log"
"Feb 24 2010","2455251.999988426","288705601","40.38","8.82e-8","3.26e-8","-1.74","-","134.15","1e-8","0","bin190.log"
"Feb 27 2010","2455254.999988426","288964801","121.67","1.75e-7","4.20e-8","-1.74","-","135.25","1e-8","0","bin191.log"
"Mar 02 2010","2455257.999988426","289224001","135.65","1.97e-7","4.10e-8","-1.74","-","136.26","1e-8","0","bin192.log"
"Mar 05 2010","2455260.999988426","289483201","105.19","1.21e-7","3.06e-8","-1.74","-","137.18","1e-8","0","bin193.log"
"Mar 08 2010","2455263.999988426","289742401","68.97","1.22e-7","3.14e-8","-1.74","-","137.97","1e-8","0","bin194.log"
"Mar 11 2010","2455266.999988426","290001601","73.51","1.29e-7","3.55e-8","-1.74","-","138.64","1e-8","0","bin195.log"
"Mar 14 2010","2455269.999988426","290260801","91.91","1.40e-7","3.40e-8","-1.74","-","139.16","1e-8","0","bin196.log"
"Mar 17 2010","2455272.999988426","290520001","114.51","1.29e-7","3.17e-8","-1.74","-","139.52","1e-8","0","bin197.log"
